0001,1.7,5.6,6.1,3.0,4.0,1.6,4.6,4.1,2.1,4.3,1.7,2.9,1.3,2.2
0002,3.8,5.3,6.2,4.7,4.2,4.8,5.1,3.1,4.2,4.3,3.0,4.1,4.0,3.7
0003,6.1,6.6,7.2,6.0,6.0,4.6,4.9,2.4,4.1,5.1,5.2,3.2,5.7,6.4
0004,4.2,4.3,5.1,5.2,4.2,5.6,3.9,2.3,5.2,5.7,4.9,2.2,6.2,5.1
0005,1.0,6.8,7.6,3.0,4.4,1.1,3.8,4.0,3.2,3.7,1.3,4.0,1.0,2.6
0006,5.8,5.7,6.0,5.6,5.3,4.7,5.4,2.8,5.3,4.7,6.1,3.4,5.9,6.4
0007,3.3,4.6,7.1,5.4,4.4,5.6,4.3,2.7,4.7,2.8,5.0,2.4,4.6,4.6
0008,6.3,4.0,6.1,6.4,4.1,8.1,3.2,1.8,6.1,3.9,5.2,2.4,7.8,6.8
0009,3.3,5.0,6.7,4.3,6.6,3.9,3.6,4.4,1.6,4.6,5.8,3.9,3.1,3.3
0010,7.3,7.7,7.4,6.3,6.0,6.2,5.8,3.2,7.0,6.0,6.7,4.4,6.2,7.9
0011,6.8,6.8,6.7,5.3,5.1,7.1,5.1,2.0,6.0,4.3,6.6,1.8,6.2,7.7
0012,5.7,5.2,6.0,6.2,5.0,7.0,6.2,1.3,6.2,7.1,5.2,1.3,6.4,6.7
0013,8.0,6.9,7.0,6.7,7.1,8.1,4.6,2.1,7.2,4.9,6.8,1.4,7.6,8.4
0014,6.6,5.9,6.3,6.2,7.4,6.6,4.9,2.9,6.0,5.9,7.1,2.6,6.2,6.0
0015,1.9,6.7,6.4,4.6,5.0,2.1,4.6,2.4,4.0,5.0,4.8,4.7,3.1,3.3
0016,4.4,7.1,7.3,5.2,4.4,5.6,4.6,2.3,6.9,4.0,6.0,1.7,5.4,6.9
0017,7.6,6.3,6.7,5.6,5.7,7.6,5.2,1.2,8.0,6.9,7.0,1.1,7.2,7.1
0018,1.8,6.2,4.0,3.1,2.1,4.2,4.9,3.8,4.8,2.4,3.6,3.1,4.3,3.1
0019,6.9,6.1,6.3,6.7,5.1,8.4,4.6,1.0,7.8,6.0,6.2,2.4,7.2,6.8
0020,6.7,6.4,7.1,4.8,4.9,7.6,4.2,2.3,6.6,5.1,6.7,2.2,6.7,6.4
0021,1.0,6.3,5.3,3.7,3.7,1.4,4.8,6.2,3.1,3.3,1.6,4.1,2.3,1.8
0022,3.1,7.3,6.2,5.9,4.1,5.9,6.3,1.9,5.8,3.8,5.8,1.8,5.0,4.8
0023,7.1,6.2,7.2,7.0,4.9,7.9,4.9,1.1,6.3,4.6,6.7,1.2,7.6,7.3
0024,3.9,5.8,5.9,3.6,4.0,3.3,4.9,3.3,4.2,3.3,3.2,3.7,3.7,3.9
0025,2.0,5.4,6.7,2.9,2.4,4.3,4.2,5.4,3.9,2.0,6.2,5.2,1.8,2.9
0026,8.1,5.2,7.3,7.2,4.6,7.9,4.9,1.6,7.0,4.6,7.2,4.0,7.0,8.0
0027,2.7,5.9,5.0,3.7,5.6,2.1,4.1,3.7,2.9,4.8,1.9,4.7,2.6,2.8
0028,1.7,5.3,4.0,3.3,2.1,3.1,3.2,6.8,3.3,1.7,2.3,4.3,1.4,1.4
0029,7.0,6.3,6.8,5.9,5.3,6.7,5.2,1.8,6.4,4.9,7.4,3.7,4.8,6.9
0030,1.6,6.1,5.1,3.1,3.2,3.3,3.2,6.6,4.3,2.4,3.6,5.8,2.6,1.9
0031,2.0,6.0,6.1,2.8,5.1,2.9,3.9,4.1,3.7,5.1,4.7,5.2,1.9,3.2
0032,5.1,5.9,6.1,4.7,5.6,6.8,4.7,3.0,5.2,5.2,6.7,3.6,4.3,5.9
0033,6.6,5.9,6.2,5.9,5.3,6.9,4.4,2.7,6.9,5.6,6.4,2.8,6.8,6.3
0034,6.0,5.9,6.7,6.3,5.9,8.1,4.7,2.0,6.7,5.3,6.9,3.8,7.3,6.1
0035,6.4,5.9,6.0,7.1,7.3,7.0,3.8,1.9,6.9,4.3,6.8,2.9,6.6,7.0
0036,4.9,5.4,5.3,5.6,6.2,6.9,5.1,3.1,6.0,6.1,6.1,3.8,6.4,5.8
0037,5.8,6.4,6.2,6.2,6.0,7.4,4.6,1.8,6.4,5.1,5.9,2.3,7.0,7.1
0038,6.3,6.1,5.8,5.4,5.1,7.7,5.1,3.3,5.9,6.3,7.2,3.3,6.1,5.9
0039,4.4,5.1,5.2,4.0,4.0,6.4,4.3,3.4,5.7,4.3,6.1,3.0,3.2,5.9
0040,6.7,5.8,5.8,5.2,5.9,7.8,4.4,3.0,6.6,4.9,6.8,3.3,6.1,7.6
0041,5.6,5.7,5.9,5.0,5.8,6.9,5.4,3.0,6.7,5.8,7.4,3.1,6.1,6.8
0042,4.9,5.4,5.9,5.0,3.3,6.6,4.0,4.0,4.3,4.0,5.0,3.2,4.7,4.9
0043,6.3,5.9,6.3,5.3,5.8,7.8,4.0,3.0,6.3,4.9,7.2,3.3,6.6,6.8
